,X,Dep,Number,Dep_n,logR_n
281,61.0,7.989999999999998,11,0.23213000580383036,0.5873420122265246
282,61.0,6.989999999999998,12,0.17351131746952972,0.6939826617213803
283,61.0,5.989999999999998,13,0.1148926291352291,0.8222728411509934
284,61.0,4.989999999999998,14,0.05627394080092845,0.9172502380905478
285,63.0,19.2,0,0.8892455020313406,0.4342422525050356
286,63.0,18.2,1,0.8306268136970398,0.4314448668779267
287,63.0,17.2,2,0.7720081253627393,0.4277343495498891
288,63.0,16.2,3,0.7133894370284387,0.437959071423403
289,63.0,15.2,4,0.6547707486941381,0.43074409977223344
290,63.0,14.2,5,0.5961520603598374,0.39022948562658005
291,63.0,13.2,6,0.5375333720255367,0.3062422349692579
292,63.0,12.2,7,0.4789146836912361,0.22673829848483856
293,63.0,11.2,8,0.42029599535693546,0.22007902593611134
294,63.0,10.2,9,0.36167730702263484,0.36361246558548105
295,63.0,9.2,10,0.3030586186883342,0.4234706942880696
296,63.0,8.2,11,0.24443993035403355,0.5739464537639565
297,63.0,7.199999999999999,12,0.1858212420197329,0.684320017121402
298,63.0,6.199999999999999,13,0.1272025536854323,0.8170901231156028
299,63.0,5.199999999999999,14,0.06858386535113165,0.9135350772317951
300,63.0,4.199999999999999,15,0.009965177016831,0.9135350772317951
301,65.0,19.32,0,0.8962797446314567,0.4901796789011462
302,65.0,18.32,1,0.837661056297156,0.5017431015713554
303,65.0,17.32,2,0.7790423679628555,0.5037039626782684
304,65.0,16.32,3,0.7204236796285548,0.48001120677869213
305,65.0,15.32,4,0.6618049912942542,0.4470334628475707
306,65.0,14.32,5,0.6031863029599536,0.39546811720276653
307,65.0,13.32,6,0.5445676146256528,0.3299620079506235
308,65.0,12.32,7,0.4859489262913522,0.2676309399491014
309,65.0,11.32,8,0.4273302379570516,0.2660744248550647
310,65.0,10.32,9,0.368711549622751,0.38953656419602
311,65.0,9.32,10,0.3100928612884503,0.38083328265356536
312,65.0,8.32,11,0.2514741729541497,0.5814571122123756
313,65.0,7.32,12,0.19285548461984903,0.6854010875254468
314,65.0,6.32,13,0.1342367962855484,0.8204066364367418
315,65.0,5.32,14,0.07561810795124778,0.9148313969561084
316,65.0,4.32,15,0.016999419616947134,0.9148313969561084
317,67.0,19.3,0,0.8951073708647708,0.4438330435774788
318,67.0,18.3,1,0.83648868253047,0.4546853505202185
319,67.0,17.3,2,0.7778699941961694,0.4698173477276287
320,67.0,16.3,3,0.7192513058618688,0.4786638870997583
321,67.0,15.3,4,0.6606326175275681,0.4674774435021485
322,67.0,14.3,5,0.6020139291932675,0.4295295497111955
323,67.0,13.3,6,0.543395240858967,0.3698933896625078
324,67.0,12.3,7,0.4847765525246662,0.31068120488395284
325,67.0,11.3,8,0.4261578641903656,0.29782381197730484
326,67.0,10.3,9,0.367539175856065,0.39493080481872306
327,67.0,9.3,10,0.3089204875217643,0.4011247820720786
328,67.0,8.3,11,0.2503017991874637,0.5862819969691734
329,67.0,7.300000000000001,12,0.19168311085316306,0.6845284968061628
330,67.0,6.300000000000001,13,0.1330644225188624,0.8206628390785684
331,67.0,5.300000000000001,14,0.07444573418456178,0.9134630920084099
332,67.0,4.300000000000001,15,0.015827045850261144,0.9134630920084099
333,69.0,19.24,0,0.8915902495647126,0.2492018854949534
334,69.0,18.24,1,0.8329715612304119,0.37617048797736896
335,69.0,17.24,2,0.7743528728961112,0.4569776653731802
336,69.0,16.24,3,0.7157341845618106,0.4913435502054157
337,69.0,15.239999999999998,4,0.65711549622751,0.49513910634987424
338,69.0,14.239999999999998,5,0.5984968078932094,0.4663734783163856
339,69.0,13.239999999999998,6,0.5398781195589087,0.39965694126292844
340,69.0,12.239999999999998,7,0.4812594312246081,0.3285610585425729
341,69.0,11.239999999999998,8,0.42264074289030745,0.2919654156076703
342,69.0,10.239999999999998,9,0.3640220545560068,0.37630069029039964
343,69.0,9.239999999999998,10,0.30540336622170616,0.4618666276166486
344,69.0,8.239999999999998,11,0.24678467788740552,0.5753802734159232
345,69.0,7.239999999999998,12,0.18816598955310487,0.674635669617557
346,69.0,6.239999999999998,13,0.12954730121880426,0.8103848630057998
347,69.0,5.239999999999998,14,0.07092861288450361,0.9032954309569504
348,69.0,4.239999999999998,15,0.012309924550202975,0.9032954309569504
349,71.0,19.29,0,0.8945211839814277,0.33517387228430595
350,71.0,18.29,1,0.8359024956471269,0.448744899862746
351,71.0,17.29,2,0.7772838073128263,0.5182899458102519
352,71.0,16.29,3,0.7186651189785257,0.5446551947092493
353,71.0,15.29,4,0.6600464306442251,0.5405190280768875
354,71.0,14.29,5,0.6014277423099244,0.5032978377004803
355,71.0,13.29,6,0.5428090539756237,0.4263970845070873
356,71.0,12.29,7,0.4841903656413231,0.3412836740262115
357,71.0,11.29,8,0.4255716773070225,0.2838781484874393
358,71.0,10.29,9,0.3669529889727219,0.36538525389319865
359,71.0,9.29,10,0.30833430063842127,0.41247626000796944
360,71.0,8.29,11,0.2497156123041206,0.5569736038372223
361,71.0,7.289999999999999,12,0.19109692396981998,0.6574360109515677
362,71.0,6.289999999999999,13,0.13247823563551933,0.7896421589197634
363,71.0,5.289999999999999,14,0.07385954730121869,0.8822803001240876
364,71.0,4.289999999999999,15,0.015240858966918049,0.8822803001240876
365,73.0,19.36,0,0.8986244921648286,0.35046917191845217
366,73.0,18.36,1,0.840005803830528,0.417198362505572
367,73.0,17.36,2,0.7813871154962274,0.47634401181717806
368,73.0,16.36,3,0.7227684271619267,0.505197473086345
